Accuracy  	  Logistic Regression	  Naive Bayes Classifier	    LDA	   k-NN	  Decision Tree Classifier
Dataset 1 	              60.2683	                 88.8992	87.197 	66.6512	                   99.5652
Dataset 2 	              86.9388	                 78.9796	86.6667	84.966 	                   78.0272
Dataset 3 	              99.3261	                 98.9263	97.5443	99.2233	                   99.8287
Dataset 4 	              90.6667	                 95.3333	98     	95.3333	                   96
Dataset 4 	              83.4863	                 80.5082	83.1585	81.847 	                   77.2022

Precision  	  Logistic Regression	  Naive Bayes Classifier	     LDA	    k-NN	  Decision Tree Classifier
Dataset 1  	             0.631164	                0.905203	0.900128	0.725561	                  0.993333
Dataset 2  	             0.78779 	                0.658936	0.776924	0.812607	                  0.60727
Dataset 3  	             0.96511 	                0.94925 	0.883806	0.956965	                  0.998424
Dataset 4  	             0.912522	                0.958384	0.980606	0.956818	                  0.96229
Dataset 4  	             0.840127	                0.805765	0.844975	0.8203  	                  0.776739

Recall   	  Logistic Regression	  Naive Bayes Classifier	     LDA	    k-NN	  Decision Tree Classifier
Dataset 1	             0.592633	                0.899531	0.873369	0.640361	                  0.995238
Dataset 2	             0.661274	                0.707581	0.65793 	0.54411 	                  0.615273
Dataset 3	             0.991763	                0.985037	0.986661	0.993814	                  0.989938
Dataset 4	             0.906667	                0.953333	0.98    	0.953333	                  0.96
Dataset 4	             0.829052	                0.801647	0.822511	0.81633 	                  0.767569

F1 Score  	  Logistic Regression	  Naive Bayes Classifier	     LDA	    k-NN	  Decision Tree Classifier
Dataset 1 	             0.586982	                0.894779	0.87724 	0.646736	                  0.993732
Dataset 2 	             0.694744	                0.67261 	0.689929	0.54124 	                  0.609988
Dataset 3 	             0.977829	                0.965091	0.926973	0.974507	                  0.993915
Dataset 4 	             0.905681	                0.953047	0.979983	0.953014	                  0.9599
Dataset 4 	             0.83084 	                0.801838	0.825396	0.816076	                  0.766504

Jaccard Score  	  Logistic Regression	  Naive Bayes Classifier	     LDA	    k-NN	  Decision Tree Classifier
Dataset 1      	             0.441647	                0.823216	0.802066	0.506368	                  0.988571
Dataset 2      	             0.582981	                0.541514	0.578304	0.469065	                  0.490296
Dataset 3      	             0.95772 	                0.934287	0.870467	0.951151	                  0.988362
Dataset 4      	             0.843782	                0.914141	0.96303 	0.917063	                  0.92697
Dataset 4      	             0.71393 	                0.673945	0.705317	0.692126	                  0.626368
